taxon,raw_date,resolved_date,date_precision,older_taxon_count,applicable_trait_count,primary_donor,primary_donor_date,primary_donor_gap_days,primary_donor_borrowed_trait_count,secondary_donor_count,borrowed_trait_count,innovation_count,secondary_donor_cost_total,trait_borrow_cost_total,innovation_cost_total,total_score,greedy_total_score,score_improvement_vs_greedy,innovations,donors,full_primary_donor,full_primary_donor_date,full_primary_donor_gap_days,full_primary_donor_borrowed_trait_count,primary_donor_support,primary_donor_nonempty_support,primary_donor_vote_count,primary_donor_nonempty_vote_count,primary_donor_in_full_solution,primary_donor_matches_full_primary,full_primary_donor_support,primary_donor_vote_breakdown
recurrent_gemma,2024-04-06,2024-04-06,exact_day,23,50,gemma,2024-02-21,45,19,2,43,7,4.00,4.30,7.00,15.30,15.30,0.00,stack_topology|state_update_rule|projection_bias_scheme|attention_pattern|hybrid_block_schedule|residual_scheme|rglru_recurrence,gemma:attention_projection|block_norm_variant|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_moe|kv_layout|kv_reuse_attention|modality|norm_scheme|periodic_no_rope_layers|positional_encoding|q_lora_present|rope_parameterization|tie_embeddings_configurable|window_schedule_detail|windowed_rope_scope;phi:altup|attention_family|attention_output_gating|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|has_aux_relu2_gate|has_aux_silu_gate|kv_lora_present|laurel|lm_head_bias|ngram_memory|optional_nope|output_head_connection|qk_norm|residual_update_rule|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_default|uses_logit_scale|uses_logit_softcap,phi,2023-06-15,296,24,0.5000,0.5000,10,20,1,0,0.2000,gemma:10;qwen:6;phi:4
phi3,2024-04-22,2024-04-22,exact_day,24,50,internlm2,2024-01-17,96,46,1,46,4,2.00,4.60,4.00,10.60,10.60,0.00,attention_projection|positional_encoding|residual_scheme|ffn_projection_style,internlm2:altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,internlm2,2024-01-17,96,46,0.6000,0.6000,12,20,1,1,0.6000,internlm2:12;glm:4;minicpm:2;mixtral:1;nemotron:1
openelm,2024-04-24,2024-04-24,exact_day,25,51,plamo,2023-09-28,209,,2,48,3,4.00,4.80,3.00,11.80,11.80,0.00,qk_norm|qk_norm_detail|tie_embeddings_default,phi3:altup|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_projection_style|global_plus_linear_attention_mix|has_moe|kv_reuse_attention|lm_head_bias|norm_scheme|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|uses_logit_scale|window_schedule_detail;qwen:attention_family|attention_output_gating|attention_pattern|cross_layer_kv_sharing|ffn_core|gated_delta_net|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|modality|ngram_memory|optional_nope|positional_encoding|q_lora_present|residual_scheme|residual_update_rule|rope_parameterization|tie_embeddings_configurable|uses_logit_softcap|windowed_rope_scope,phi3,2024-04-22,2,25,0.6000,0.6000,12,20,0,0,0.1500,plamo:12;cohere:3;phi3:3;glm:2
deepseek_v2,2024-05-06,2024-05-06,exact_day,26,62,deepseek,2024-01-08,119,55,1,55,7,2.00,5.50,7.00,14.50,14.50,0.00,attention_family|attention_projection|q_lora_present|kv_lora_present|kv_layout|positional_encoding|rope_partition_detail,deepseek:altup|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,deepseek,2024-01-08,119,55,1.0000,1.0000,20,20,1,1,1.0000,deepseek:20
phi3small,2024-05-07,2024-05-07,exact_day,27,50,gpt2,2019-02-14,1909,47,1,47,3,2.00,4.70,3.00,9.70,9.70,0.00,positional_encoding|ffn_projection_style|ffn_activation_core,gpt2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,gpt2,2019-02-14,1909,47,1.0000,1.0000,20,20,1,1,1.0000,gpt2:20
mamba2,2024-05-31,2024-05-31,exact_day,28,44,mamba,2023-12-01,182,40,1,40,4,2.00,4.00,4.00,10.00,10.00,0.00,attention_projection|norm_scheme|ffn_core|lm_head_bias,mamba:altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|modality|ngram_memory|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail,mamba,2023-12-01,182,40,1.0000,1.0000,20,20,1,1,1.0000,mamba:20
glm4,2024-06-05,2024-06-05,exact_day,29,50,glm,2021-03-18,1175,22,2,49,1,4.00,4.90,1.00,9.90,9.90,0.00,residual_scheme,glm:attention_output_gating|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_reuse_attention|modality|ngram_memory|norm_scheme|residual_update_rule|rope_partition_detail|same_block_attention_ssm|window_schedule_detail|windowed_rope_scope;stablelm:altup|attention_family|attention_pattern|attention_projection|bitlinear_weights|cross_layer_kv_sharing|global_plus_linear_attention_mix|has_aux_relu2_gate|kv_lora_present|laurel|lm_head_bias|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|rglru_recurrence|rope_parameterization|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap,stablelm,2023-04-19,413,27,0.4500,0.4500,9,20,1,0,0.2000,glm:9;phi:4;stablelm:4;gpt_neox:1;minicpm:1;phi3:1
qwen2,2024-06-07,2024-06-07,exact_day,30,50,qwen,2023-08-03,309,25,2,50,0,4.00,5.00,0.00,9.00,9.90,0.90,,bitnet:attention_pattern|attention_projection|block_norm_variant|chunked_kv_cache|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|modality|norm_scheme|optional_nope|residual_scheme|rope_parameterization|rope_partition_detail|secondary_token_mixer|tie_embeddings_configurable|tie_embeddings_default|windowed_rope_scope;qwen:altup|attention_family|attention_output_gating|bitlinear_weights|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|has_aux_relu2_gate|has_aux_silu_gate|lm_head_bias|ngram_memory|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|same_block_attention_ssm|stack_topology|state_update_rule|uses_logit_scale|uses_logit_softcap|window_schedule_detail,bitnet,2024-02-27,101,25,0.6000,0.6000,12,20,1,0,0.2000,qwen:12;bitnet:4;llama:3;deepseek:1
qwen2_moe,2024-06-07,2024-06-07,exact_day,30,62,mixtral,2023-12-11,179,31,2,59,3,4.00,5.90,3.00,12.90,12.90,0.00,kv_layout|has_shared_expert|shared_branch_merge_mode,mixtral:altup|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|expert_bias_correction|ffn_activation_core|ffn_core|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_reuse_attention|laurel|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|periodic_no_rope_layers|residual_scheme|residual_update_rule|rope_parameterization|rope_partition_detail|router_activation|same_block_attention_ssm|stack_topology|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|zero_expert_option;qwen:attention_family|attention_output_gating|attention_pattern|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_silu_gate|kv_lora_present|lm_head_bias|optional_nope|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|rglru_recurrence|router_activation_configurable|secondary_token_mixer|shared_expert_configurable|state_update_rule|tie_embeddings_default|window_schedule_detail|windowed_rope_scope,mixtral,2023-12-11,179,31,0.8000,0.8000,16,20,1,1,0.8000,mixtral:16;deepseek:2;dbrx:1;jamba:1
gemma2,2024-06-27,2024-06-27,exact_day,32,50,gemma,2024-02-21,127,45,1,45,5,2.00,4.50,5.00,11.50,11.50,0.00,attention_family|residual_scheme|ffn_activation_core|output_head_connection|uses_logit_softcap,gemma:altup|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|window_schedule_detail|windowed_rope_scope,gemma,2024-02-21,127,45,0.9500,0.9500,19,20,1,1,0.9500,gemma:19;olmo:1
exaone,2024-08-07,2024-08-07,exact_day,33,50,bitnet,2024-02-27,162,,2,50,0,4.00,5.00,0.00,9.00,9.00,0.00,,llama:altup|attention_projection|bitlinear_weights|chunked_kv_cache|conv_on_kv|dual_attention_modules|gated_delta_net|has_moe|kv_layout|kv_lora_present|laurel|lm_head_bias|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap|windowed_rope_scope;qwen:attention_family|attention_output_gating|attention_pattern|block_norm_variant|cross_layer_kv_sharing|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_reuse_attention|modality|ngram_memory|norm_scheme|positional_encoding|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|uses_logit_scale|window_schedule_detail,qwen,2023-08-03,370,25,0.5500,0.5500,11,20,0,0,0.0500,bitnet:11;internlm2:2;llama:2;glm:1;mixtral:1;nemotron:1;qwen:1;qwen2:1
phimoe,2024-08-17,2024-08-17,exact_day,34,60,mixtral,2023-12-11,250,33,2,58,2,4.00,5.80,2.00,11.80,12.70,0.90,positional_encoding|block_norm_variant,mixtral:attention_projection|bitlinear_weights|chunked_kv_cache|conv_on_kv|expert_bias_correction|ffn_core|ffn_projection_style|grouped_expert_selection|has_aux_silu_gate|has_moe|has_shared_expert|kv_layout|kv_reuse_attention|laurel|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|optional_nope|periodic_no_rope_layers|residual_scheme|residual_update_rule|rope_parameterization|rope_partition_detail|router_activation|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope;qwen:altup|attention_family|attention_output_gating|attention_pattern|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|hybrid_block_schedule|kv_lora_present|lm_head_bias|modality|norm_scheme|output_head_connection|projection_bias_scheme|q_lora_present|qk_norm|rglru_recurrence|router_activation_configurable|same_block_attention_ssm|tie_embeddings_configurable|tie_embeddings_default|zero_expert_option,mixtral,2023-12-11,250,33,0.6500,0.6500,13,20,1,1,0.6500,mixtral:13;qwen:3;qwen2_moe:3;dbrx:1
granite,2024-08-23,2024-08-23,exact_day,35,50,minicpm,2024-02-01,204,48,1,48,2,2.00,4.80,2.00,8.80,8.80,0.00,tie_embeddings_default|output_head_connection,minicpm:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,minicpm,2024-02-01,204,48,0.7500,0.7500,15,20,1,1,0.7500,minicpm:15;bitnet:2;exaone:2;llama:1
granitemoe,2024-08-23,2024-08-23,exact_day,35,60,mixtral,2023-12-11,256,57,1,57,3,2.00,5.70,3.00,10.70,10.70,0.00,kv_layout|residual_update_rule|tie_embeddings_default,mixtral:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,mixtral,2023-12-11,256,57,1.0000,1.0000,20,20,1,1,1.0000,mixtral:20
olmoe,2024-09-04,2024-09-04,exact_day,37,61,granitemoe,2024-08-23,12,31,2,59,2,4.00,5.90,2.00,11.90,11.90,0.00,moe_subtype|router_activation,granitemoe:attention_family|attention_projection|bitlinear_weights|conv_on_kv|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|ngram_memory|norm_scheme|residual_scheme|rglru_recurrence|rope_parameterization|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap;openelm:altup|attention_output_gating|attention_pattern|block_norm_variant|chunked_kv_cache|cross_layer_kv_sharing|global_plus_linear_attention_mix|has_aux_relu2_gate|has_shared_expert|hybrid_block_schedule|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|uses_logit_scale|window_schedule_detail|windowed_rope_scope|zero_expert_option,granitemoe,2024-08-23,12,31,0.6000,0.6000,12,20,1,1,0.6000,granitemoe:12;qwen2_moe:5;openelm:2;mixtral:1
minicpm3,2024-09-05,2024-09-05,exact_day,38,50,deepseek_v2,2024-05-06,122,45,2,49,1,4.00,4.90,1.00,9.90,9.90,0.00,residual_update_rule,deepseek_v2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope;phi3:has_moe|output_head_connection|positional_encoding|tie_embeddings_configurable,deepseek_v2,2024-05-06,122,45,1.0000,1.0000,20,20,1,1,1.0000,deepseek_v2:20
nemotron-nas,2024-09-23,2024-09-23,exact_day,39,50,exaone,2024-08-07,47,,2,48,2,4.00,4.80,2.00,10.80,10.80,0.00,ffn_activation_core|has_aux_silu_gate,mixtral:altup|attention_output_gating|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|kv_reuse_attention|lm_head_bias|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rope_parameterization|rope_partition_detail|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_softcap|window_schedule_detail|windowed_rope_scope;qwen:attention_family|attention_pattern|cross_layer_kv_sharing|gated_delta_net|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|modality|norm_scheme|residual_update_rule|rglru_recurrence|same_block_attention_ssm|tie_embeddings_default|uses_logit_scale,mixtral,2023-12-11,287,31,0.2500,0.2500,5,20,0,0,0.2000,exaone:5;mixtral:4;mamba2:3;bitnet:1;deepseek:1;granite:1;llama:1;olmoe:1;phi:1;phi3:1;qwen:1
rwkv7,2024-09-23,2024-09-23,exact_day,39,45,mamba,2023-12-01,297,19,2,41,4,4.00,4.10,4.00,12.10,12.10,0.00,stack_topology|state_update_rule|attention_family|ffn_activation_core,dbrx:attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|global_plus_linear_attention_mix|has_aux_silu_gate|kv_layout|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|output_head_connection|q_lora_present|qk_norm|same_block_attention_ssm|tie_embeddings_default|uses_logit_scale|window_schedule_detail;mamba:altup|attention_output_gating|attention_projection|ffn_core|ffn_projection_style|gated_delta_net|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|positional_encoding|projection_bias_scheme|residual_scheme|residual_update_rule|rglru_recurrence|secondary_token_mixer|tie_embeddings_configurable|uses_logit_softcap,dbrx,2024-03-27,180,22,0.3500,0.3500,7,20,1,0,0.2500,mamba:7;dbrx:5;olmo:3;gpt_neox:2;bitnet:1;cohere:1;qwen2_moe:1
olmo2,2024-11-26,2024-11-26,exact_day,41,51,olmoe,2024-09-04,83,49,1,49,2,2.00,4.90,2.00,8.90,8.90,0.00,residual_scheme|has_moe,olmoe:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,olmoe,2024-09-04,83,49,0.9500,0.9500,19,20,1,1,0.9500,olmoe:19;exaone:1
cohere2,2024-12-11,2024-12-11,exact_day,42,50,cohere,2024-03-11,275,45,1,45,5,2.00,4.50,5.00,11.50,11.50,0.00,kv_layout|attention_pattern|window_schedule_detail|windowed_rope_scope|qk_norm,cohere:altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap,cohere,2024-03-11,275,45,0.9500,0.9500,19,20,1,1,0.9500,cohere:19;stablelm:1
deepseek_v3,2024-12-26,2024-12-26,exact_day,43,62,deepseek_v2,2024-05-06,234,59,1,59,3,2.00,5.90,3.00,10.90,10.90,0.00,positional_encoding|router_activation|expert_bias_correction,deepseek_v2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,deepseek_v2,2024-05-06,234,59,1.0000,1.0000,20,20,1,1,1.0000,deepseek_v2:20
helium,2025-01-13,2025-01-13,exact_day,44,49,glm,2021-03-18,1397,48,1,48,1,2.00,4.80,1.00,7.80,7.80,0.00,ffn_projection_style,glm:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,glm,2021-03-18,1397,48,0.9000,0.9000,18,20,1,1,0.9000,glm:18;bitnet:1;olmo2:1
minimax,2025-01-14,2025-01-14,exact_day,45,61,olmoe,2024-09-04,132,31,2,59,2,4.00,5.90,2.00,11.90,11.90,0.00,positional_encoding|rope_parameterization,deepseek_v3:altup|block_norm_variant|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_silu_gate|laurel|lm_head_bias|modality|moe_subtype|ngram_memory|projection_bias_scheme|residual_scheme|residual_update_rule|router_activation|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|window_schedule_detail|windowed_rope_scope;olmoe:attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|chunked_kv_cache|gated_delta_net|has_aux_relu2_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|moe_distribution|moe_schedule_type|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|q_lora_present|qk_norm|qk_norm_detail|rglru_recurrence|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_configurable|uses_logit_softcap|zero_expert_option,olmoe,2024-09-04,132,31,0.8500,0.8500,17,20,1,1,0.8500,olmoe:17;deepseek_v3:2;mixtral:1
