donor,recipient,donor_date,recipient_date,gap_days,is_primary_donor,borrowed_trait_count,borrowed_traits
phi,glm4,2023-12-12,2024-06-18,189,0,23,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|cross_layer_kv_sharing|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|kv_lora_present|kv_reuse_attention|modality|ngram_memory|output_head_connection|positional_encoding|residual_update_rule|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
gemma,gemma2,2024-02-21,2024-06-27,127,1,45,altup|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|window_schedule_detail|windowed_rope_scope
llama,exaone,2023-02-27,2024-08-07,527,1,29,attention_family|attention_projection|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_projection_style|gated_delta_net|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|lm_head_bias|modality|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|rope_parameterization|secondary_token_mixer|stack_topology|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap
qwen,exaone,2023-08-03,2024-08-07,370,0,21,altup|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|ffn_activation_core|ffn_core|global_plus_linear_attention_mix|laurel|ngram_memory|norm_scheme|optional_nope|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|state_update_rule|window_schedule_detail|windowed_rope_scope
mixtral,phimoe,2023-12-11,2024-08-17,250,1,31,attention_family|attention_projection|bitlinear_weights|chunked_kv_cache|conv_on_kv|ffn_activation_core|has_aux_relu2_gate|has_moe|kv_layout|kv_reuse_attention|laurel|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|q_lora_present|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|state_update_rule|tie_embeddings_default|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
qwen,phimoe,2023-08-03,2024-08-17,380,0,27,altup|attention_output_gating|attention_pattern|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_silu_gate|has_shared_expert|hybrid_block_schedule|kv_lora_present|lm_head_bias|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|residual_update_rule|rope_partition_detail|stack_topology|tie_embeddings_configurable|uses_logit_scale|zero_expert_option
minicpm,granite,2024-02-01,2024-08-23,204,1,48,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
mixtral,granitemoe,2023-12-11,2024-08-23,256,1,57,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
openelm,olmoe,2024-04-24,2024-09-04,133,0,24,attention_pattern|cross_layer_kv_sharing|ffn_activation_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|lm_head_bias|modality|norm_scheme|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_partition_detail|secondary_token_mixer|tie_embeddings_default|windowed_rope_scope
qwen2_moe,olmoe,2024-06-07,2024-09-04,89,1,35,altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|expert_bias_correction|ffn_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|laurel|moe_distribution|moe_schedule_type|ngram_memory|optional_nope|residual_scheme|rope_parameterization|router_activation_configurable|same_block_attention_ssm|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|zero_expert_option
deepseek_v2,minicpm3,2024-05-06,2024-09-05,122,1,45,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
phi3,minicpm3,2024-04-22,2024-09-05,136,0,4,has_moe|output_head_connection|positional_encoding|tie_embeddings_configurable
mamba2,nemotron-nas,2024-05-31,2024-09-23,115,0,23,altup|block_norm_variant|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|gated_delta_net|has_aux_silu_gate|has_moe|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|ngram_memory|norm_scheme|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_configurable|window_schedule_detail|windowed_rope_scope
mixtral,nemotron-nas,2023-12-11,2024-09-23,287,1,25,attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|chunked_kv_cache|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|hybrid_block_schedule|modality|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|qk_norm|rglru_recurrence|rope_parameterization|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap
dbrx,rwkv7,2024-03-27,2024-09-23,180,1,21,altup|attention_pattern|bitlinear_weights|block_norm_variant|dual_attention_modules|global_plus_linear_attention_mix|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|lm_head_bias|modality|ngram_memory|norm_scheme|output_head_connection|qk_norm|residual_update_rule|rglru_recurrence|tie_embeddings_default|uses_logit_softcap
mamba,rwkv7,2023-12-01,2024-09-23,297,0,20,attention_output_gating|attention_projection|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_core|ffn_projection_style|gated_delta_net|has_aux_relu2_gate|has_moe|laurel|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_configurable|uses_logit_scale|window_schedule_detail
olmoe,olmo2,2024-09-04,2024-11-26,83,1,49,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
cohere,cohere2,2024-03-11,2024-12-11,275,1,45,altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap
deepseek_v2,deepseek_v3,2024-05-06,2024-12-26,234,1,59,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
glm,helium,2024-06-05,2025-01-13,222,1,48,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
gemma2,plamo2,2024-06-27,2025-01-14,201,0,6,has_moe|lm_head_bias|norm_scheme|output_head_connection|positional_encoding|residual_scheme
jamba,plamo2,2024-03-28,2025-01-14,292,1,41,altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|modality|ngram_memory|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
internlm2,internlm3,2024-01-17,2025-01-15,364,1,48,altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
cohere2,baichuan_m1,2024-12-11,2025-01-23,43,0,21,altup|attention_pattern|chunked_kv_cache|cross_layer_kv_sharing|dual_attention_modules|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|lm_head_bias|optional_nope|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rope_parameterization|state_update_rule|uses_logit_softcap
qwen2_moe,baichuan_m1,2024-06-07,2025-01-23,230,1,26,attention_family|attention_output_gating|bitlinear_weights|block_norm_variant|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|kv_layout|laurel|modality|ngram_memory|norm_scheme|output_head_connection|periodic_no_rope_layers|residual_scheme|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|windowed_rope_scope
deepseek_v3,bailing_moe,2024-12-26,2025-02-28,64,0,29,bitlinear_weights|coefficient_mix_shared_routed|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|has_shared_expert|kv_reuse_attention|lm_head_bias|moe_distribution|moe_schedule_type|ngram_memory|norm_scheme|periodic_no_rope_layers|projection_bias_scheme|residual_scheme|rglru_recurrence|router_activation|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale
olmoe,bailing_moe,2024-09-04,2025-02-28,177,1,30,altup|attention_family|attention_output_gating|attention_pattern|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_core|grouped_expert_selection|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|modality|moe_subtype|optional_nope|output_head_connection|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rope_parameterization|rope_partition_detail|tie_embeddings_configurable|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
bailing_moe,gemma3_text,2025-02-28,2025-03-12,12,1,23,attention_family|bitlinear_weights|chunked_kv_cache|cross_layer_kv_sharing|dual_attention_modules|gated_delta_net|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|lm_head_bias|modality|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|rglru_recurrence|rope_parameterization|same_block_attention_ssm|uses_logit_softcap
gemma2,gemma3_text,2024-06-27,2025-03-12,258,0,22,altup|attention_output_gating|attention_projection|block_norm_variant|conv_on_kv|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|laurel|ngram_memory|norm_scheme|residual_scheme|rope_partition_detail|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale
deepseek_v3,nemotron_h,2024-12-26,2025-03-20,84,0,23,altup|attention_output_gating|bitlinear_weights|chunked_kv_cache|conv_on_kv|dual_attention_modules|expert_bias_correction|ffn_core|global_plus_linear_attention_mix|has_shared_expert|kv_reuse_attention|lm_head_bias|modality|residual_update_rule|rglru_recurrence|router_activation|router_activation_configurable|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale
jamba,nemotron_h,2024-03-28,2025-03-20,357,1,28,attention_family|attention_pattern|attention_projection|block_norm_variant|coefficient_mix_shared_routed|cross_layer_kv_sharing|ffn_activation_core|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|laurel|moe_schedule_type|ngram_memory|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|same_block_attention_ssm|stack_topology|state_update_rule|uses_logit_softcap|window_schedule_detail|zero_expert_option
deepseek,llama4,2024-01-08,2025-04-05,453,0,28,altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|coefficient_mix_shared_routed|expert_bias_correction|gated_delta_net|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_lora_present|moe_distribution|ngram_memory|output_head_connection|projection_bias_scheme|q_lora_present|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|zero_expert_option
olmoe,llama4,2024-09-04,2025-04-05,213,1,29,block_norm_variant|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|grouped_expert_selection|kv_layout|kv_reuse_attention|laurel|lm_head_bias|moe_subtype|norm_scheme|optional_nope|positional_encoding|qk_norm|qk_norm_detail|residual_scheme|rope_parameterization|router_activation|router_activation_configurable|shared_expert_configurable|stack_topology|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
olmoe,llama4_text,2024-09-04,2025-04-05,213,1,28,altup|attention_family|attention_pattern|attention_projection|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|hybrid_block_schedule|kv_layout|kv_lora_present|modality|ngram_memory|norm_scheme|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_configurable|windowed_rope_scope
plamo2,llama4_text,2025-01-14,2025-04-05,81,0,22,attention_output_gating|bitlinear_weights|block_norm_variant|ffn_activation_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_reuse_attention|laurel|lm_head_bias|optional_nope|output_head_connection|periodic_no_rope_layers|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|secondary_token_mixer|uses_logit_scale|uses_logit_softcap|window_schedule_detail
bailing_moe,bailing_moe_linear,2025-02-28,2025-04-24,55,1,56,altup|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
olmo2,qwen3,2024-11-26,2025-04-29,154,1,49,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
granitemoe,qwen3_moe,2024-08-23,2025-04-29,249,1,31,altup|attention_family|attention_pattern|attention_projection|chunked_kv_cache|conv_on_kv|expert_bias_correction|ffn_core|gated_delta_net|has_shared_expert|kv_layout|kv_reuse_attention|laurel|lm_head_bias|modality|moe_subtype|ngram_memory|output_head_connection|periodic_no_rope_layers|positional_encoding|residual_scheme|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_configurable|uses_logit_softcap|windowed_rope_scope
llama4,qwen3_moe,2025-04-05,2025-04-29,24,0,29,attention_output_gating|bitlinear_weights|block_norm_variant|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|moe_distribution|moe_schedule_type|norm_scheme|optional_nope|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|shared_expert_configurable|state_update_rule|uses_logit_scale|window_schedule_detail|zero_expert_option
granitemoe,granitemoehybrid,2024-08-23,2025-04-30,250,0,28,block_norm_variant|chunked_kv_cache|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|kv_layout|kv_reuse_attention|laurel|lm_head_bias|modality|moe_schedule_type|moe_subtype|output_head_connection|positional_encoding|q_lora_present|residual_update_rule|rglru_recurrence|router_activation|shared_expert_configurable|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap|windowed_rope_scope
nemotron_h,granitemoehybrid,2025-03-20,2025-04-30,41,1,31,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|ffn_core|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_lora_present|ngram_memory|periodic_no_rope_layers|projection_bias_scheme|qk_norm|residual_scheme|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|stack_topology|state_update_rule|uses_logit_scale|window_schedule_detail|zero_expert_option
qwen2,mimo,2024-06-07,2025-05-12,339,1,49,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
phimoe,falcon_h1,2024-08-17,2025-05-20,276,0,22,altup|attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_projection_style|has_aux_relu2_gate|kv_layout|kv_reuse_attention|modality|ngram_memory|norm_scheme|output_head_connection|periodic_no_rope_layers|qk_norm|residual_scheme|rope_parameterization|secondary_token_mixer|uses_logit_scale|uses_logit_softcap
plamo2,falcon_h1,2025-01-14,2025-05-20,126,1,25,attention_family|attention_pattern|block_norm_variant|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|kv_lora_present|laurel|lm_head_bias|optional_nope|positional_encoding|projection_bias_scheme|q_lora_present|residual_update_rule|rglru_recurrence|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail|windowed_rope_scope
gemma3_text,gemma3n,2025-03-12,2025-05-20,69,1,24,attention_family|bitlinear_weights|conv_on_kv|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|kv_lora_present|kv_reuse_attention|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|residual_scheme|rope_parameterization|rope_partition_detail|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|windowed_rope_scope
llama,gemma3n,2023-02-27,2025-05-20,813,0,19,attention_output_gating|attention_pattern|attention_projection|block_norm_variant|chunked_kv_cache|dual_attention_modules|ffn_core|ffn_projection_style|has_moe|hybrid_block_schedule|kv_layout|lm_head_bias|ngram_memory|projection_bias_scheme|q_lora_present|residual_update_rule|rglru_recurrence|secondary_token_mixer|window_schedule_detail
openelm,afm7,2024-04-24,2025-05-27,398,1,47,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
